,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample929,929,FMT-OO-D4-J2-1,18,2,4,4,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,107,J,FMT-M,
sample930,930,FMT-OO-D4-J3-1,18,2,4,4,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,108,J,FMT-M,
sample931,931,FMT-OO-D4-J4-1,18,2,4,4,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,109,J,FMT-M,
sample874,874,18-D32-B1-1,18,0,32,14,14,0,NA,NA,O0,B1,14,NA,1,NA,NA,NA,81,B,Ctrl,
sample875,875,18-D32-B2-1,18,0,32,14,14,0,NA,NA,O0,B2,14,NA,1,NA,NA,NA,82,B,Ctrl,
sample876,876,18-D32-B3-1,18,0,32,14,14,0,NA,NA,O0,B3,14,NA,1,NA,NA,NA,83,B,Ctrl,
sample877,877,18-D32-B4-1,18,0,32,14,14,0,NA,NA,O0,B4,14,NA,1,NA,NA,NA,84,B,Ctrl,
sample878,878,18-D32-B5-1,18,0,32,14,14,0,NA,NA,O0,B5,14,NA,1,NA,NA,NA,85,B,Ctrl,
sample879,879,18-D14-F1-1,18,2,14,14,14,0,NA,NA,O2,F1,14,NA,1,NA,NA,NA,86,F,ABH,SR
sample880,880,18-D14-F2-1,18,2,14,14,14,0,NA,NA,O2,F2,14,NA,1,NA,NA,NA,87,F,ABH,SR
sample881,881,18-D14-F3-1,18,2,14,14,14,0,NA,NA,O2,F3,14,NA,1,NA,NA,NA,88,F,ABH,SR
sample882,882,18-D14-F4-1,18,2,14,14,14,0,NA,NA,O2,F4,14,NA,1,NA,NA,NA,89,F,ABH,SR
sample883,883,18-D14-F5-1,18,2,14,14,14,0,NA,NA,O2,F5,14,NA,1,NA,NA,NA,90,F,ABH,SR
sample932,932,FMT-OO-D4-J5-1,18,2,4,4,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,110,J,FMT-M,
sample933,933,K1,18,2,4,4,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample934,934,K2,18,2,4,4,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample935,935,K3,18,2,4,4,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
